INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070123.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070130.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070138.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070145.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070153.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070200.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070208.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070216.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070223.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070231.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070238.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070246.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070254.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070301.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070309.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070316.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070324.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070332.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070339.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070347.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070354.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070402.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070409.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070417.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070425.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070432.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070440.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070447.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070455.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070503.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070510.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070518.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070525.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070533.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070541.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070548.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070556.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070603.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070611.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070618.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-070626.jpg
